
Report Name,CAL-ChangedBy-MultipleUsers
Report GUID,f1077ee4-cc2e-4825-8023-3cdc009651e3
Report Creator User ID,sfadmin
Data Operator,MultipleUsers
Modules,Employee Central
Functional Areas,"Personal Information, Employment Information, Global Benefits, Time Management, Document Generation, Prior Service, Employee Central Compound Employee API"
Time Range (Start),2025-01-07T18:30:00Z
Time Range (End),2025-01-08T18:26:00Z

Changed By User (First Name),Changed By User (Last Name),Changed By User (Username),Proxy:Logged in User (First Name),Proxy:Logged in User (Last Name),Proxy:Logged in User (Username),Secondary User Provisioner ID,Secondary User Email,Subject User (First Name),Subject User (Last Name),Subject User (ID),Module,Functional Area,Functional Sub Area,Context 1 Key,Context 1 Value,Context 2 Key,Context 2 Value,Context 3 Key,Context 3 Value,Context 4 Key,Context 4 Value,Context 5 Key,Context 5 Value,Field Name,Old Value,New Value,Operation Performed,Timestamp,Effective Start Date,Effective Sequence
ff_HR1,Firefighter1,ff_HR1,Jane,Watson,jwatson,,,Teena,Ambani,null (Person ID),Employee Central,Personal Information,personInfo,,,,,,,,,,,Birth Name,,,I,2025-01-08T10:42:53Z,,0
ff_HR1,Firefighter1,ff_HR1,Jane,Watson,jwatson,,,Teena,Ambani,null (Person ID),Employee Central,Personal Information,personalInfo,,,,,,,,,,,Alt1 Middle Name,,,I,2025-01-08T10:42:53Z,2025-01-01,0
ff_HR1,Firefighter1,ff_HR1,Jane,Watson,jwatson,,,Jane,Watson,101004 (Person ID),Employee Central,Personal Information,personRelationshipInfo,personRelationshipInfo_related-person-id,372_d1,,,,,,,,,EFFECTIVE_START_DATE,,2025-01-01,I,2025-01-08T10:42:53Z,2025-01-01,0
ff_HR1,Firefighter1,ff_HR1,Jane,Watson,jwatson,,,Jane,Watson,101004 (Person ID),Employee Central,Personal Information,personRelationshipInfo,personRelationshipInfo_related-person-id,372_d1,,,,,,,,,Copy Address from Employee,,,I,2025-01-08T10:42:53Z,2025-01-01,0
ff_HR1,Firefighter1,ff_HR1,Jane,Watson,jwatson,,,Jane,Watson,101004 (Person ID),Employee Central,Personal Information,personRelationshipInfo,personRelationshipInfo_related-person-id,372_d1,,,,,,,,,Relationship,,Mother,I,2025-01-08T10:42:53Z,2025-01-01,0
ff_HR1,Firefighter1,ff_HR1,Jane,Watson,jwatson,,,Jane,Watson,101004 (Person ID),Employee Central,Personal Information,personRelationshipInfo,personRelationshipInfo_related-person-id,372_d1,,,,,,,,,Accompanying,,0,I,2025-01-08T10:42:53Z,2025-01-01,0
ff_HR1,Firefighter1,ff_HR1,Jane,Watson,jwatson,,,Jane,Watson,101004 (Person ID),Employee Central,Personal Information,personRelationshipInfo,personRelationshipInfo_related-person-id,372_d1,,,,,,,,,Is Beneficiary,,0,I,2025-01-08T10:42:53Z,2025-01-01,0
ff_HR1,Firefighter1,ff_HR1,Jane,Watson,jwatson,,,Jane,Watson,101004 (Person ID),Employee Central,Personal Information,personRelationshipInfo,personRelationshipInfo_related-person-id,372_d1,,,,,,,,,Attachments,,,I,2025-01-08T10:42:53Z,2025-01-01,0
ff_HR1,Firefighter1,ff_HR1,Jane,Watson,jwatson,,,Teena,Ambani,null (Person ID),Employee Central,Personal Information,personInfo,,,,,,,,,,,Birth Name,,,I,2025-01-08T10:42:53Z,,0
ff_HR1,Firefighter1,ff_HR1,Jane,Watson,jwatson,,,Teena,Ambani,null (Person ID),Employee Central,Personal Information,personInfo,,,,,,,,,,,Region Of Birth,,,I,2025-01-08T10:42:53Z,,0
ff_HR1,Firefighter1,ff_HR1,Jane,Watson,jwatson,,,Teena,Ambani,null (Person ID),Employee Central,Personal Information,personInfo,,,,,,,,,,,Date Of Birth,,1965-01-01,I,2025-01-08T10:42:53Z,,0
ff_HR1,Firefighter1,ff_HR1,Jane,Watson,jwatson,,,Teena,Ambani,null (Person ID),Employee Central,Personal Information,personInfo,,,,,,,,,,,Country Of Birth,,,I,2025-01-08T10:42:53Z,,0
ff_HR1,Firefighter1,ff_HR1,Jane,Watson,jwatson,,,Teena,Ambani,null (Person ID),Employee Central,Personal Information,personalInfo,,,,,,,,,,,Initials,,,I,2025-01-08T10:42:53Z,2025-01-01,0
